Date,Open,High,Low,Close,Volume,Market Cap,Market_Cap
2017-08-07,3212.7799999999997,3397.68,3180.8900000000003,3378.94,1482280000,"52,987,300,000",52987300000
2017-08-06,3257.61,3293.29,3155.6,3213.94,1105030000,"53,720,900,000",53720900000
2017-08-05,2897.63,3290.01,2874.8300000000004,3252.9100000000003,1945700000,"47,778,200,000",47778200000
2017-08-04,2806.9300000000003,2899.3300000000004,2743.72,2895.8900000000003,1002120000,"46,276,200,000",46276200000
2017-08-03,2709.56,2813.3100000000004,2685.14,2804.73,804797000,"44,666,400,000",44666400000
2017-08-02,2727.13,2762.53,2668.59,2710.67,1094950000,"44,950,800,000",44950800000
2017-08-01,2871.3,2921.3500000000004,2685.61,2718.2599999999998,1324670000,"47,321,800,000",47321800000
